rollout/ep_len_mean,time/episodes,rollout/ep_rew_mean,time/fps,rollout/exploration_rate,time/time_elapsed,time/total_timesteps,train/loss,train/n_updates,train/learning_rate
5.51,100,0.5358695700000001,694,0.4545100000000095,0,551,,,
5.17,200,-0.3072917399999999,616,0.01,1,1068,,,
4.71,300,1.8583320700000001,634,0.01,2,1539,,,
6.16,400,0.6266035799999997,629,0.01,3,2155,,,
5.8,500,-2.54528701,610,0.01,4,2735,,,
4.4,600,0.44623729000000006,581,0.01,5,3175,,,
6.21,700,-0.58532597,558,0.01,6,3796,,,
6.03,800,-0.41734121000000046,549,0.01,8,4399,,,
5.1,900,0.27112976,544,0.01,9,4909,,,
2.03,1000,1.4281699600000002,419,0.01,12,5112,11.379894256591797,111,0.0001
1.35,1100,1.7781366299999999,328,0.01,15,5247,12.989396095275879,246,0.0001
1.21,1200,2.1154604,274,0.01,19,5368,17.554380416870117,367,0.0001
1.46,1300,2.3547646600000003,232,0.01,23,5514,2.870567560195923,513,0.0001
1.63,1400,2.50567725,201,0.01,28,5677,7.557919979095459,676,0.0001
1.38,1500,2.3221710900000003,179,0.01,32,5815,14.885021209716797,814,0.0001
1.51,1600,1.3623669,162,0.01,36,5966,14.762535095214844,965,0.0001
4.78,1700,-1.05201944,132,0.01,48,6444,17.906787872314453,1443,0.0001
9.29,1800,-25.095100149999997,101,0.01,72,7373,13.268000602722168,2372,0.0001
